date,clusters
2023-08-01,"DTE,ED,FAST,FI,FICO,HON,KO;CDNS,ORCL;ADM;CERN;ETN;FISV;MGM;MSFT;SIVB;TROW;WM;XOM;XRAY"
2023-08-02,"DTE,ED,FAST,FI,FICO,HON,KO,MSFT;CDNS,ORCL;MGM,XRAY;ADM;CERN;ETN;FISV;SIVB;TROW;WM;XOM"
2023-08-03,"DTE,ED,FAST,MGM,TROW,XRAY;CDNS,ORCL;FI,MSFT;ADM;CERN;ETN;FICO;FISV;HON;KO;SIVB;WM;XOM"
2023-08-04,"DTE,ED,FAST,MGM,TROW,XRAY;FI,HON,MSFT;CDNS,ORCL;ADM;CERN;ETN;FICO;FISV;KO;SIVB;WM;XOM"
2023-08-07,"DTE,ED,FAST,MGM,XRAY;FI,FICO,HON,MSFT;CDNS,ORCL;ADM;CERN;ETN;FISV;KO;SIVB;TROW;WM;XOM"
2023-08-08,"CDNS,FI,FICO,HON,MSFT,ORCL,TROW;DTE,ED,FAST,MGM,XRAY;ADM;CERN;ETN;FISV;KO;SIVB;WM;XOM"
2023-08-09,"CDNS,DTE,ED,FAST,KO,MGM,ORCL,WM,XRAY;ADM,FI,FICO,HON,MSFT,TROW;CERN;ETN;FISV;SIVB;XOM"
2023-08-10,"ADM,CDNS,DTE,ED,FAST,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;ETN;FICO;FISV;SIVB;XOM"
2023-08-11,"ADM,CDNS,DTE,ED,FAST,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;ETN;FICO;FISV;SIVB;XOM"
2023-08-14,"DTE,ED,FAST,HON,KO,MGM,WM,XRAY;ADM,CDNS,FI,MSFT,ORCL,TROW;CERN;ETN;FICO;FISV;SIVB;XOM"
2023-08-15,"ADM,CDNS,DTE,ED,ETN,FAST,FI,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FICO;FISV;SIVB;XOM"
2023-08-16,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2023-08-17,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM;CERN;FISV;SIVB;XOM;XRAY"
2023-08-18,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-08-21,"ADM,CDNS,DTE,ED,ETN,FAST,FICO,HON,KO,MSFT,ORCL,TROW,WM,XOM,XRAY;FI,MGM;CERN;FISV;SIVB"
2023-08-22,"ADM,DTE,ED,FAST,HON,KO,WM,XOM;CDNS,ETN,MSFT,XRAY;FI,MGM,TROW;FICO,ORCL;CERN;FISV;SIVB"
2023-08-23,"CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;ADM;CERN;FISV;SIVB"
2023-08-24,"CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;ADM;CERN;FISV;SIVB"
2023-08-25,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-08-28,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-08-29,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-08-30,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-08-31,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-09-01,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2023-09-05,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2023-09-06,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XRAY;CERN;FISV;SIVB;XOM"
2023-09-07,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,MSFT,ORCL,TROW,WM,XOM,XRAY;CERN;FISV;SIVB"
2023-09-08,"ADM,CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,KO,MGM,TROW,WM,XOM,XRAY;MSFT,ORCL;CERN;FISV;SIVB"
2023-09-11,"CDNS,DTE,ED,ETN,FAST,FI,FICO,HON,TROW,XRAY;ADM,WM;MGM,XOM;MSFT,ORCL;CERN;FISV;KO;SIVB"
2023-09-12,"ADM,DTE,ED,FAST,HON,TROW,WM,XRAY;CDNS,ETN,FICO,MSFT,ORCL;CERN;FI;FISV;KO;MGM;SIVB;XOM"
2023-09-13,"ADM,DTE,ED,HON,WM;CDNS,MSFT,ORCL;ETN,MGM;TROW,XRAY;CERN;FAST;FI;FICO;FISV;KO;SIVB;XOM"
2023-09-14,"ADM,DTE,ED,FAST,HON,WM;CDNS,MSFT,ORCL;TROW,XRAY;CERN;ETN;FI;FICO;FISV;KO;MGM;SIVB;XOM"
2023-09-15,"ADM,DTE,ED,HON;CDNS,FICO,KO,MSFT;TROW,XRAY;CERN;ETN;FAST;FI;FISV;MGM;ORCL;SIVB;WM;XOM"
2023-09-18,"ADM,DTE,ED,HON,WM;CDNS,FICO,KO,MSFT;TROW,XRAY;CERN;ETN;FAST;FI;FISV;MGM;ORCL;SIVB;XOM"
2023-09-19,"ADM,DTE,ED,WM;CDNS,FICO,KO,MSFT;ETN,ORCL;CERN;FAST;FI;FISV;HON;MGM;SIVB;TROW;XOM;XRAY"
2023-09-20,"ADM,DTE,ED,WM,XOM;CDNS,FICO,KO,MSFT;CERN;ETN;FAST;FI;FISV;HON;MGM;ORCL;SIVB;TROW;XRAY"
2023-09-21,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MSFT,ORCL,TROW,WM,XOM;CERN;FAST;FISV;MGM;SIVB;XRAY"
2023-09-22,"ADM,CDNS,DTE,ED,ETN,FI,FICO,HON,KO,MGM,MSFT,TROW,WM,XOM,XRAY;CERN;FAST;FISV;ORCL;SIVB"
