date,clusters
2023-06-08,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-09,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-12,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-13,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-14,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-15,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-16,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-20,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-21,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-22,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-23,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
2023-06-26,ADM;CDNS;CERN;DTE;ED;ETN;FAST;FI;FICO;FISV;HON;KO;MGM;MSFT;ORCL;SIVB;TROW;WM;XOM;XRAY
