date,ABBV-ADM,ABBV-DTE,ABBV-ED,ABBV-ENPH,ABBV-EPAM,ABBV-FAST,ABBV-GD,ABBV-HCA,ABBV-HII,ABBV-IBM,ABBV-KMI,ABBV-MGM,ABBV-MPC,ABBV-NCLH,ABBV-NOW,ABBV-NXPI,ABBV-WM,ABBV-XYL,ABBV-ZTS,ADM-DTE,ADM-ED,ADM-ENPH,ADM-EPAM,ADM-FAST,ADM-GD,ADM-HCA,ADM-HII,ADM-IBM,ADM-KMI,ADM-MGM,ADM-MPC,ADM-NCLH,ADM-NOW,ADM-NXPI,ADM-WM,ADM-XYL,ADM-ZTS,DTE-ED,DTE-ENPH,DTE-EPAM,DTE-FAST,DTE-GD,DTE-HCA,DTE-HII,DTE-IBM,DTE-KMI,DTE-MGM,DTE-MPC,DTE-NCLH,DTE-NOW,DTE-NXPI,DTE-WM,DTE-XYL,DTE-ZTS,ED-ENPH,ED-EPAM,ED-FAST,ED-GD,ED-HCA,ED-HII,ED-IBM,ED-KMI,ED-MGM,ED-MPC,ED-NCLH,ED-NOW,ED-NXPI,ED-WM,ED-XYL,ED-ZTS,ENPH-EPAM,ENPH-FAST,ENPH-GD,ENPH-HCA,ENPH-HII,ENPH-IBM,ENPH-KMI,ENPH-MGM,ENPH-MPC,ENPH-NCLH,ENPH-NOW,ENPH-NXPI,ENPH-WM,ENPH-XYL,ENPH-ZTS,EPAM-FAST,EPAM-GD,EPAM-HCA,EPAM-HII,EPAM-IBM,EPAM-KMI,EPAM-MGM,EPAM-MPC,EPAM-NCLH,EPAM-NOW,EPAM-NXPI,EPAM-WM,EPAM-XYL,EPAM-ZTS,FAST-GD,FAST-HCA,FAST-HII,FAST-IBM,FAST-KMI,FAST-MGM,FAST-MPC,FAST-NCLH,FAST-NOW,FAST-NXPI,FAST-WM,FAST-XYL,FAST-ZTS,GD-HCA,GD-HII,GD-IBM,GD-KMI,GD-MGM,GD-MPC,GD-NCLH,GD-NOW,GD-NXPI,GD-WM,GD-XYL,GD-ZTS,HCA-HII,HCA-IBM,HCA-KMI,HCA-MGM,HCA-MPC,HCA-NCLH,HCA-NOW,HCA-NXPI,HCA-WM,HCA-XYL,HCA-ZTS,HII-IBM,HII-KMI,HII-MGM,HII-MPC,HII-NCLH,HII-NOW,HII-NXPI,HII-WM,HII-XYL,HII-ZTS,IBM-KMI,IBM-MGM,IBM-MPC,IBM-NCLH,IBM-NOW,IBM-NXPI,IBM-WM,IBM-XYL,IBM-ZTS,KMI-MGM,KMI-MPC,KMI-NCLH,KMI-NOW,KMI-NXPI,KMI-WM,KMI-XYL,KMI-ZTS,MGM-MPC,MGM-NCLH,MGM-NOW,MGM-NXPI,MGM-WM,MGM-XYL,MGM-ZTS,MPC-NCLH,MPC-NOW,MPC-NXPI,MPC-WM,MPC-XYL,MPC-ZTS,NCLH-NOW,NCLH-NXPI,NCLH-WM,NCLH-XYL,NCLH-ZTS,NOW-NXPI,NOW-WM,NOW-XYL,NOW-ZTS,NXPI-WM,NXPI-XYL,NXPI-ZTS,WM-XYL,WM-ZTS,XYL-ZTS
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
